"o","text","annotation","term","annotation2","term2"
"https://www.ncbi.nlm.nih.gov/pubmed/31374861t1","Maternal Fiber Dietary Intakes during Pregnancy and Infant Allergic Disease","https://www.ncbi.nlm.nih.gov/pubmed/31374861t1b1","Fiber Dietary","https://www.ncbi.nlm.nih.gov/pubmed/31374861t1b5","Disease"
"https://www.ncbi.nlm.nih.gov/pubmed/31340870a10","We also found inverse significant associations between total, soluble and insoluble fibre with uncontrolled asthma; OR for participants in the highest quintile of total dietary fibre was 0·72 (95 % CI 0·55, 0·95) in women and 0·45 (95 % CI 0·26, 0·79) in men.","https://www.ncbi.nlm.nih.gov/pubmed/31340870a10b6","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/31340870a10b3","asthma"
"https://www.ncbi.nlm.nih.gov/pubmed/31340870a10","We also found inverse significant associations between total, soluble and insoluble fibre with uncontrolled asthma; OR for participants in the highest quintile of total dietary fibre was 0·72 (95 % CI 0·55, 0·95) in women and 0·45 (95 % CI 0·26, 0·79) in men.","https://www.ncbi.nlm.nih.gov/pubmed/31340870a10b6","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/31340870a10b8","men"
"https://www.ncbi.nlm.nih.gov/pubmed/23609775a3","Higher intakes of dietary fiber are linked to less cardiovascular disease and fiber plays a role in gut health, with many effective laxatives actually isolated fiber sources.","https://www.ncbi.nlm.nih.gov/pubmed/23609775a3b2","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/23609775a3b3","cardiovascular disease"
"https://www.ncbi.nlm.nih.gov/pubmed/32006211a4","Dietary fiber has been shown to reduce colon tumors in animal models, and, in vitro, butyrate influences cellular pathways important to cancer risk.","https://www.ncbi.nlm.nih.gov/pubmed/32006211a4b1","Dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/32006211a4b2","colon tumors"
"https://www.ncbi.nlm.nih.gov/pubmed/22208328a4","The bulk of a spinal catheter and fascial connector within the lumbar wound may increase the potential for the aforementioned risks, leading to potential risks for wound infection and breakdown.","https://www.ncbi.nlm.nih.gov/pubmed/22208328a4b1","bulk","https://www.ncbi.nlm.nih.gov/pubmed/22208328a4b8","wound infection"
"https://www.ncbi.nlm.nih.gov/pubmed/22208328a4","The bulk of a spinal catheter and fascial connector within the lumbar wound may increase the potential for the aforementioned risks, leading to potential risks for wound infection and breakdown.","https://www.ncbi.nlm.nih.gov/pubmed/22208328a4b1","bulk","https://www.ncbi.nlm.nih.gov/pubmed/22208328a4b5","wound"
"https://www.ncbi.nlm.nih.gov/pubmed/31860194a3","The importance of optimal intake of dietary fibers for saving health, gastrointestinal functions, prevention of metabolic disorders (overweight, obesity, hyperlipidemia), reducing the risk of cardiovascular and cancer diseases has been proved.","https://www.ncbi.nlm.nih.gov/pubmed/31860194a3b2","dietary fibers","https://www.ncbi.nlm.nih.gov/pubmed/31860194a3b13","hyperlipidemia"
"https://www.ncbi.nlm.nih.gov/pubmed/31860194a3","The importance of optimal intake of dietary fibers for saving health, gastrointestinal functions, prevention of metabolic disorders (overweight, obesity, hyperlipidemia), reducing the risk of cardiovascular and cancer diseases has been proved.","https://www.ncbi.nlm.nih.gov/pubmed/31860194a3b2","dietary fibers","https://www.ncbi.nlm.nih.gov/pubmed/31860194a3b9","cancer"
"https://www.ncbi.nlm.nih.gov/pubmed/31860194a3","The importance of optimal intake of dietary fibers for saving health, gastrointestinal functions, prevention of metabolic disorders (overweight, obesity, hyperlipidemia), reducing the risk of cardiovascular and cancer diseases has been proved.","https://www.ncbi.nlm.nih.gov/pubmed/31860194a3b2","dietary fibers","https://www.ncbi.nlm.nih.gov/pubmed/31860194a3b7","obesity"
"https://www.ncbi.nlm.nih.gov/pubmed/31860194a3","The importance of optimal intake of dietary fibers for saving health, gastrointestinal functions, prevention of metabolic disorders (overweight, obesity, hyperlipidemia), reducing the risk of cardiovascular and cancer diseases has been proved.","https://www.ncbi.nlm.nih.gov/pubmed/31860194a3b2","dietary fibers","https://www.ncbi.nlm.nih.gov/pubmed/31860194a3b6","metabolic disorders"
"https://www.ncbi.nlm.nih.gov/pubmed/31860194a3","The importance of optimal intake of dietary fibers for saving health, gastrointestinal functions, prevention of metabolic disorders (overweight, obesity, hyperlipidemia), reducing the risk of cardiovascular and cancer diseases has been proved.","https://www.ncbi.nlm.nih.gov/pubmed/31860194a3b2","dietary fibers","https://www.ncbi.nlm.nih.gov/pubmed/31860194a3b10","diseases"
"https://www.ncbi.nlm.nih.gov/pubmed/26711548a7","Results:                    We found 15 studies that examined the association between dietary fibre and mortality from CVD, coronary heart disease (CHD) and all cancers.","https://www.ncbi.nlm.nih.gov/pubmed/26711548a7b4","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/26711548a7b9","cancers"
"https://www.ncbi.nlm.nih.gov/pubmed/23631268a12","The research showed low consumption of dietary fiber in all investigated groups of women and men.","https://www.ncbi.nlm.nih.gov/pubmed/23631268a12b3","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/23631268a12b6","men"
"https://www.ncbi.nlm.nih.gov/pubmed/25989998a12","These results emphasise a focus on quality and food sources of fat and carbohydrates, limiting foods rich in SFA and added sugars and replacing them with foods rich in dietary fibre and cis-unsaturated fatty acids.","https://www.ncbi.nlm.nih.gov/pubmed/25989998a12b12","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/25989998a12b16","cis"
"https://www.ncbi.nlm.nih.gov/pubmed/33721642a5","With antibiotic exposure alpha diversity values remained unchanged for the rhizosphere soil and lettuce roots, but were significantly decreased for the bulk soil and lettuce shoots (p &lt; 0.05).","https://www.ncbi.nlm.nih.gov/pubmed/33721642a5b8","bulk","https://www.ncbi.nlm.nih.gov/pubmed/33721642a5b1","exposure"
"https://www.ncbi.nlm.nih.gov/pubmed/33956788a5","This study includes simulation evaluation of representative biological networks, personalized driver genes prioritization on multiple cancer bulk expression datasets with matched patient samples from TCGA, and cell marker genes and key time point identification related to cell differentiation on single-cell RNA-seq datasets.","https://www.ncbi.nlm.nih.gov/pubmed/33956788a5b7","bulk","https://www.ncbi.nlm.nih.gov/pubmed/33956788a5b6","multiple cancer"
"https://www.ncbi.nlm.nih.gov/pubmed/31668752a3","Ten Italian Simmental calves were used for the experiment and were offered 6 L of bulk whole milk/d from an open-bucket starting at day 2 from birth and through 5 weeks.","https://www.ncbi.nlm.nih.gov/pubmed/31668752a3b3","bulk","https://www.ncbi.nlm.nih.gov/pubmed/31668752a3b1","Ten"
"https://www.ncbi.nlm.nih.gov/pubmed/33494481a12","Chungkookjang contains isoflavone aglycans, peptides, dietary fiber, γ-PGA, and &gt;i&lt;Bacillus&gt;/i&lt; species.","https://www.ncbi.nlm.nih.gov/pubmed/33494481a12b2","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/33494481a12b3","PGA"
"https://www.ncbi.nlm.nih.gov/pubmed/34141989a10","Bulk RNA-sequencing analysis indicated that dysregulated molecular pathways in DUAL mice were similar to those of patients with steatohepatitis.","https://www.ncbi.nlm.nih.gov/pubmed/34141989a10b1","Bulk","https://www.ncbi.nlm.nih.gov/pubmed/34141989a10b9","steatohepatitis"
"https://www.ncbi.nlm.nih.gov/pubmed/32013818a6","The content of hydrosoluble antioxidants (organic acids, phenolic compounds), liposoluble antioxidants (tocopherols, carotenoids) and other compounds which exert antioxidant properties, such as dietary fibre and minerals (zinc, selenium), has been studied, reporting that pulses are an interesting source of these compounds, which have important health benefits, including a preventing role in cardiovascular diseases, anticarcinogenic or neuroprotective properties.","https://www.ncbi.nlm.nih.gov/pubmed/32013818a6b8","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/32013818a6b18","cardiovascular diseases"
"https://www.ncbi.nlm.nih.gov/pubmed/34032648a5","Dietary fibre is an important component of healthy diet and may be relevant for common mental disorders, with some studies showing a dose-dependent relationship between fibre intake and risk of depression.","https://www.ncbi.nlm.nih.gov/pubmed/34032648a5b1","Dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/34032648a5b4","mental disorders"
"https://www.ncbi.nlm.nih.gov/pubmed/34032648a5","Dietary fibre is an important component of healthy diet and may be relevant for common mental disorders, with some studies showing a dose-dependent relationship between fibre intake and risk of depression.","https://www.ncbi.nlm.nih.gov/pubmed/34032648a5b1","Dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/34032648a5b10","depression"
"https://www.ncbi.nlm.nih.gov/pubmed/23123507a9","The findings for dietary fiber were confirmed among HBV/HCV-free participants [0.48 (0.23-1.01)].","https://www.ncbi.nlm.nih.gov/pubmed/23123507a9b2","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/23123507a9b3","HBV"
"https://www.ncbi.nlm.nih.gov/pubmed/26013682a4","In this issue of Diabetologia (DOI 10.1007/s00125-015-3585-9 ) Kuijsten et al report on the prospective associations between different dietary fibre sources and type 2 diabetes risk in the European Prospective Investigation of Cancer and Nutrition (EPIC)-Interact study and set their findings in context with a meta-analysis of relevant published prospective studies.","https://www.ncbi.nlm.nih.gov/pubmed/26013682a4b5","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/26013682a4b7","type 2 diabetes"
"https://www.ncbi.nlm.nih.gov/pubmed/31340870a7","Multi-adjusted negative binomial regressions were used to evaluate the association between dietary fibre with the asthma symptom score and logistic regressions with asthma control.","https://www.ncbi.nlm.nih.gov/pubmed/31340870a7b4","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/31340870a7b8","asthma"
"https://www.ncbi.nlm.nih.gov/pubmed/31340870a7","Multi-adjusted negative binomial regressions were used to evaluate the association between dietary fibre with the asthma symptom score and logistic regressions with asthma control.","https://www.ncbi.nlm.nih.gov/pubmed/31340870a7b4","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/31340870a7b5","asthma"
"https://www.ncbi.nlm.nih.gov/pubmed/25191542a10","These results suggest that dietary fibre, in particular, PD, may alter the bioavailability of isoflavones and prevent osteopenia in OVX mice.","https://www.ncbi.nlm.nih.gov/pubmed/25191542a10b2","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/25191542a10b7","osteopenia"
"https://www.ncbi.nlm.nih.gov/pubmed/31617357a2","A slow fermentation rate of dietary fiber could result in a steady metabolite production release and even distribution in the entire colon, increasing the likelihood of meeting the energy requirements of the distal colon.","https://www.ncbi.nlm.nih.gov/pubmed/31617357a2b4","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/31617357a2b11","colon"
"https://www.ncbi.nlm.nih.gov/pubmed/23274016a6","Covariates included various demographic, dietary, biological, and immunologic variables including age, height, weight, body mass index, race/ethnicity, marital status, education, and poverty-income ratio; dietary fiber, fat, protein, and carbohydrate intake and total energy intake; vitamin C and vitamin E; alcohol intake; medication use; concentrations of cotinine, total cholesterol, and high-density lipoprotein cholesterol; blood pressure (elevated or not elevated); diabetes; C-reactive protein; and white blood cell count and number of basophils and eosinophils.","https://www.ncbi.nlm.nih.gov/pubmed/23274016a6b14","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/23274016a6b26","diabetes"
"https://www.ncbi.nlm.nih.gov/pubmed/34168294a11","Three dietary patterns were protective against colon cancer (Prudent, Dietary fiber, and Discretionary fats), and other risk reductions were seen for the sugar, fruit, and dairy'pattern (lung cancer), and the Dietary fiber'pattern (prostate cancer).","https://www.ncbi.nlm.nih.gov/pubmed/34168294a11b12","Dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/34168294a11b14","prostate cancer"
"https://www.ncbi.nlm.nih.gov/pubmed/34168294a11","Three dietary patterns were protective against colon cancer (Prudent, Dietary fiber, and Discretionary fats), and other risk reductions were seen for the sugar, fruit, and dairy'pattern (lung cancer), and the Dietary fiber'pattern (prostate cancer).","https://www.ncbi.nlm.nih.gov/pubmed/34168294a11b12","Dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/34168294a11b3","colon cancer"
"https://www.ncbi.nlm.nih.gov/pubmed/34168294a11","Three dietary patterns were protective against colon cancer (Prudent, Dietary fiber, and Discretionary fats), and other risk reductions were seen for the sugar, fruit, and dairy'pattern (lung cancer), and the Dietary fiber'pattern (prostate cancer).","https://www.ncbi.nlm.nih.gov/pubmed/34168294a11b12","Dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/34168294a11b11","lung cancer"
"https://www.ncbi.nlm.nih.gov/pubmed/23123507a2","Background:                    The type and quantity of dietary carbohydrate as quantified by glycemic index (GI) and glycemic load (GL), and dietary fiber may influence the risk of liver and biliary tract cancers, but convincing evidence is lacking.","https://www.ncbi.nlm.nih.gov/pubmed/23123507a2b8","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/23123507a2b12","liver"
"https://www.ncbi.nlm.nih.gov/pubmed/23123507a2","Background:                    The type and quantity of dietary carbohydrate as quantified by glycemic index (GI) and glycemic load (GL), and dietary fiber may influence the risk of liver and biliary tract cancers, but convincing evidence is lacking.","https://www.ncbi.nlm.nih.gov/pubmed/23123507a2b8","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/23123507a2b10","biliary tract cancers"
"https://www.ncbi.nlm.nih.gov/pubmed/26516378a6","Several trials performed in animal models of IBD and human studies have reported that supplementation of some types of dietary fibre can prolong remission and reduce lesions of the intestinal mucosa during the course of the disease.","https://www.ncbi.nlm.nih.gov/pubmed/26516378a6b7","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/26516378a6b12","disease"
"https://www.ncbi.nlm.nih.gov/pubmed/30861997a6","Regardless of the randomized diet, subjects with prediabetes and FI below the median lost 5.6 kg (95% CI 0.6;10.6, &gt;i&lt;p&gt;/i&lt; = 0.030) more when consuming ≥35 g (&gt;i&lt;n&gt;/i&lt; = 15) compared to &lt;35 g dietary fiber/10 MJ (&gt;i&lt;n&gt;/i&lt; = 16).","https://www.ncbi.nlm.nih.gov/pubmed/30861997a6b6","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/30861997a6b10","prediabetes"
"https://www.ncbi.nlm.nih.gov/pubmed/26437726t1","Cancers in Australia in 2010 attributable to inadequate consumption of fruit, non-starchy vegetables and dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/26437726t1b5","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/26437726t1b1","Cancers"
"https://www.ncbi.nlm.nih.gov/pubmed/32986335a3","In order to replenish and update data on the content of food and biologically active substances in the tables of the chemical composition of food products, a study of the content of mono- and disaccharides, dietary fiber was carried out; vitamins C, B1, B2 and E, minerals and trace elements; flavonoids (in terms of rutin), anthocyanins; organic and hydroxycinnamic acids, stilbenoids in various varieties of 16 fruit and berry crops.","https://www.ncbi.nlm.nih.gov/pubmed/32986335a3b11","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/32986335a3b25","mono"
"https://www.ncbi.nlm.nih.gov/pubmed/31138673a11","(This study has been registered at ClinicalTrials.gov under identifier &gt;a href=http://clinicaltrials.gov/show/NCT02215343'title=See in ClinicalTrials.gov&lt;NCT02215343&gt;/a&lt;)&gt;b&lt;IMPORTANCE&gt;/b&lt; The use of dietary fiber food supplementation as a strategy to reduce the burden of diet-related diseases is a matter of study given its cost-effectiveness and the positive results demonstrated in clinical trials.","https://www.ncbi.nlm.nih.gov/pubmed/31138673a11b7","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/31138673a11b12","diseases"
"https://www.ncbi.nlm.nih.gov/pubmed/23123507a10","Similar associations were observed for IBD [dietary fiber = 0.59 (0.37-0.99) per 10 g/day], but not biliary tract cancer.","https://www.ncbi.nlm.nih.gov/pubmed/23123507a10b3","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/23123507a10b2","IBD"
"https://www.ncbi.nlm.nih.gov/pubmed/23123507a10","Similar associations were observed for IBD [dietary fiber = 0.59 (0.37-0.99) per 10 g/day], but not biliary tract cancer.","https://www.ncbi.nlm.nih.gov/pubmed/23123507a10b3","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/23123507a10b5","biliary tract cancer"
"https://www.ncbi.nlm.nih.gov/pubmed/25555562a3","However, the mechanism of different dietary fibers contributing to satiety-related gastrointestinal (GI) peptide release, especially in an obese population, is still poorly understood.","https://www.ncbi.nlm.nih.gov/pubmed/25555562a3b2","dietary fibers","https://www.ncbi.nlm.nih.gov/pubmed/25555562a3b11","obese"
"https://www.ncbi.nlm.nih.gov/pubmed/31141064a2","Background:                    Irritable bowel syndrome (IBS) is a chronic functional condition, which main symptoms of pain, discomfort and abdominal distension, constipation, diarrhea, altered fecal consistency and sensation of incomplete evacuation can be influenced by the presence of dietary fiber and fermentable carbohydrates (FODMAPs).","https://www.ncbi.nlm.nih.gov/pubmed/31141064a2b14","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/31141064a2b8","constipation"
"https://www.ncbi.nlm.nih.gov/pubmed/33721642a8","Antibiotic exposure did not substantially change the stochasticity of the bacterial communities, despite the NST values were significantly increased by ~3% (p &lt; 0.05) for the rhizosphere soil and lettuce roots and significantly decreased by ~3% (p &lt; 0.05) for the bulk soil, when comparing treatments with and without antibiotics.","https://www.ncbi.nlm.nih.gov/pubmed/33721642a8b10","bulk","https://www.ncbi.nlm.nih.gov/pubmed/33721642a8b1","exposure"
"https://www.ncbi.nlm.nih.gov/pubmed/22241557t1","Dietary fiber and protein: nutritional therapy in chronic kidney disease and beyond","https://www.ncbi.nlm.nih.gov/pubmed/22241557t1b1","Dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/22241557t1b4","chronic kidney disease"
"https://www.ncbi.nlm.nih.gov/pubmed/23123507a11","Conclusions:                    Findings suggest that higher consumption of dietary fiber and lower consumption of total sugars are associated with lower HCC risk.","https://www.ncbi.nlm.nih.gov/pubmed/23123507a11b4","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/23123507a11b7","HCC"
"https://www.ncbi.nlm.nih.gov/pubmed/22332100a5","Available data, predominantly from adult studies, indicate significantly lower risks for obesity, diabetes, and constipation could be expected with higher dietary fiber consumption.","https://www.ncbi.nlm.nih.gov/pubmed/22332100a5b7","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/22332100a5b4","obesity"
"https://www.ncbi.nlm.nih.gov/pubmed/22332100a5","Available data, predominantly from adult studies, indicate significantly lower risks for obesity, diabetes, and constipation could be expected with higher dietary fiber consumption.","https://www.ncbi.nlm.nih.gov/pubmed/22332100a5b7","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/22332100a5b6","constipation"
"https://www.ncbi.nlm.nih.gov/pubmed/22332100a5","Available data, predominantly from adult studies, indicate significantly lower risks for obesity, diabetes, and constipation could be expected with higher dietary fiber consumption.","https://www.ncbi.nlm.nih.gov/pubmed/22332100a5b7","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/22332100a5b5","diabetes"
"https://www.ncbi.nlm.nih.gov/pubmed/31340870a11","Our results suggested that higher intake of dietary fibre, mostly insoluble fibre and fibre from cereals, was associated with fewer asthma symptoms and greater asthma control.","https://www.ncbi.nlm.nih.gov/pubmed/31340870a11b3","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/31340870a11b8","asthma"
"https://www.ncbi.nlm.nih.gov/pubmed/31340870a11","Our results suggested that higher intake of dietary fibre, mostly insoluble fibre and fibre from cereals, was associated with fewer asthma symptoms and greater asthma control.","https://www.ncbi.nlm.nih.gov/pubmed/31340870a11b3","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/31340870a11b10","asthma"
"https://www.ncbi.nlm.nih.gov/pubmed/32882999a5","We employed an ex-vivo continuous fermentation model that simulates the proximal colon to assess the effect of this formulation on microbiota structure and functionality as compared to no treatment control and microcrystalline cellulose as a dietary fiber control.","https://www.ncbi.nlm.nih.gov/pubmed/32882999a5b9","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/32882999a5b2","colon"
"https://www.ncbi.nlm.nih.gov/pubmed/33421512a5","Methods:                    Colon tissues were collected from patients with UC for bulk RNA sequencing and lamina propria cells were isolated for MRGPRX2 activation studies and single-cell RNA sequencing.","https://www.ncbi.nlm.nih.gov/pubmed/33421512a5b5","bulk","https://www.ncbi.nlm.nih.gov/pubmed/33421512a5b2","Colon"
"https://www.ncbi.nlm.nih.gov/pubmed/23123507a8","For HCC, divergent risk estimates were observed for total sugar = 1.43 (1.17-1.74) per 50 g/day, total starch = 0.70 (0.55-0.90) per 50 g/day, and total dietary fiber = 0.70 (0.52-0.93) per 10 g/day.","https://www.ncbi.nlm.nih.gov/pubmed/23123507a8b7","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/23123507a8b1","HCC"
"https://www.ncbi.nlm.nih.gov/pubmed/24394536a2","The Mediterranean dietary pattern, through a healthy profile of fat intake, low proportion of carbohydrate, low glycemic index, high content of dietary fiber, antioxidant compounds, and anti-inflammatory effects, reduces the risk of certain pathologies, such as cancer or Cardiovascular Disease (CVD).","https://www.ncbi.nlm.nih.gov/pubmed/24394536a2b7","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/24394536a2b13","cancer"
"https://www.ncbi.nlm.nih.gov/pubmed/24394536a2","The Mediterranean dietary pattern, through a healthy profile of fat intake, low proportion of carbohydrate, low glycemic index, high content of dietary fiber, antioxidant compounds, and anti-inflammatory effects, reduces the risk of certain pathologies, such as cancer or Cardiovascular Disease (CVD).","https://www.ncbi.nlm.nih.gov/pubmed/24394536a2b7","dietary fiber","https://www.ncbi.nlm.nih.gov/pubmed/24394536a2b14","Cardiovascular Disease"
"https://www.ncbi.nlm.nih.gov/pubmed/26711548a2","Background:                    Accumulating evidence supports health benefits of dietary fibre, such as improving lipid profiles, lowering blood pressure and improving insulin sensitivity, but evidence from comprehensive investigation of dietary fibre intake and mortality from cardiovascular disease (CVD) and all cancers is limited.","https://www.ncbi.nlm.nih.gov/pubmed/26711548a2b4","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/26711548a2b13","cardiovascular disease"
"https://www.ncbi.nlm.nih.gov/pubmed/26711548a2","Background:                    Accumulating evidence supports health benefits of dietary fibre, such as improving lipid profiles, lowering blood pressure and improving insulin sensitivity, but evidence from comprehensive investigation of dietary fibre intake and mortality from cardiovascular disease (CVD) and all cancers is limited.","https://www.ncbi.nlm.nih.gov/pubmed/26711548a2b4","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/26711548a2b15","cancers"
"https://www.ncbi.nlm.nih.gov/pubmed/25728000a8","Conclusions:                    These results suggest that increases in dietary fibre could play an important role in lowering inflammation and therefore metabolic disease risk in high-risk minority youth.","https://www.ncbi.nlm.nih.gov/pubmed/25728000a8b4","dietary fibre","https://www.ncbi.nlm.nih.gov/pubmed/25728000a8b7","metabolic disease"
